seccion,manzana,parcela,partida,calle_nombre,calle_altura,vencimiento_certificado,direccion,lat,lon,epsg
30,82,043A,186103.0,COCHABAMBA,2827,2020-07-31,COCHABAMBA 2827,-34.625585,-58.404575,4326
3,28,29,450480.0,"ALVEAR, MARCELO T. De",835,2020-07-31,"ALVEAR, MARCELO T. De 835",-34.596383,-58.378992,4326
51,47,018B,371091.0,MENDOZA AV.,5195,2020-07-31,MENDOZA AV. 5195,-34.577587,-58.484734,4326
30,68,10,183499.0,"GARAY, JUAN DE AV.",2961,2020-07-31,"GARAY, JUAN DE AV. 2961",-34.629165,-58.406118,4326
25,34,1,336008.0,OLAZABAL,1906,2020-07-31,OLAZABAL 1906,-34.557541,-58.453812,4326
31,117,14,423875.0,GODOY CRUZ,1432,2020-07-31,GODOY CRUZ 1432,-34.589334,-58.436829,4326
35,110A,25,406171.0,MAURE,2441,2020-07-31,MAURE 2441,-34.571814,-58.442290,4326
5,71,15,221332.0,"PELLEGRINI, CARLOS",461,2020-07-31,"PELLEGRINI, CARLOS 461",-34.603025,-58.380964,4326
15,108,031A,448286.0,JUNCAL,2635,2020-07-31,JUNCAL 2635,-34.590052,-58.403583,4326
3,6,002G,453508.0,ARROYO,1130,2020-07-31,ARROYO 1130,Sin dato,Sin dato,Sin dato
40,81,28,156847.0,DIRECTORIO AV.,455,2020-07-31,DIRECTORIO AV. 455,-34.627846,-58.433150,4326
2,31,004D,215547.0,PERU,420,2020-07-31,PERU 420,-34.612915,-58.374650,4326
23,37,1,411803.0,ARCOS,1392,2020-07-31,ARCOS 1392,-34.566820,-58.447647,4326
39,50,25,374619.0,"FREIRE, RAMON, CAP. GRAL.",2229,2020-07-31,"FREIRE, RAMON, CAP. GRAL. 2229",-34.565307,-58.465463,4326
51,63,11,344060.0,MENDOZA,4860,2020-07-31,MENDOZA 4860,-34.575225,-58.481105,4326
35,13,32,406009.0,MAURE,3123,2020-07-31,MAURE 3123,-34.577977,-58.447456,4326
21,53,18,430566.0,FRAY JUSTO SANTAMARIA DE ORO,2705,2020-07-31,FRAY JUSTO SANTAMARIA DE ORO 2705,-34.577288,-58.422453,4326
36,63,20,152511.0,"YRIGOYEN, HIPOLITO AV.",4041,2020-07-31,"YRIGOYEN, HIPOLITO AV. 4041",-34.614723,-58.423665,4326
51,56,17,344103.0,TRIUNVIRATO AV.,4349,2020-07-31,TRIUNVIRATO AV. 4349,-34.577004,-58.482004,4326
1,20,20,220656.0,SARMIENTO,629,2020-07-31,SARMIENTO 629,Sin dato,Sin dato,Sin dato
25,32,002B,335792.0,O'HIGGINS,2169,2020-07-31,O'HIGGINS 2169,-34.559188,-58.453528,4326
41,112,22,328811.0,CONGRESO AV.,2845,2020-08-01,CONGRESO AV. 2845,-34.557543,-58.466668,4326
36,118,11,150705.0,"YRIGOYEN, HIPOLITO AV.",3778,2020-08-01,"YRIGOYEN, HIPOLITO AV. 3778",-34.614601,-58.419947,4326
27,4,24,337311.0,CONGRESO,2369,2020-08-01,CONGRESO 2369,-34.555199,-58.462105,4326
23,29,052A,416446.0,3 DE FEBRERO,1270,2020-08-01,3 DE FEBRERO 1270,-34.567417,-58.445186,4326
51,29,15,350545.0,BARZANA,1925,2020-08-01,BARZANA 1925,-34.581232,-58.486166,4326
20,12,006A,202679.0,CHILE,2556,2020-08-01,CHILE 2556,-34.617760,-58.401810,4326
9,58,15,205469.0,JUNIN,49,2020-08-01,JUNIN 49,-34.608821,-58.396298,4326
9,36,020A,206410.0,AZCUENAGA,205,2020-08-01,AZCUENAGA 205,-34.607251,-58.400600,4326
43,87,18,333767.0,PINTO,4440,2020-08-01,PINTO 4440,-34.546135,-58.480227,4326
41,119,21,327222.0,MOLDES,2556,2020-08-01,MOLDES 2556,-34.559480,-58.463119,4326
47,82,30,226854.0,DARWIN,24,2020-08-01,DARWIN 24,-34.598775,-58.451596,4326
37,97,5,407691.0,CESPEDES,2950,2020-08-01,CESPEDES 2950,-34.573654,-58.451585,4326
64,88,17,58384.0,HUBAC,5005,2020-08-01,HUBAC 5005,-34.658359,-58.478442,4326
21,055A,42,430901.0,GODOY CRUZ,2960,2020-08-01,GODOY CRUZ 2960,-34.576192,-58.423034,4326
23,55,14,412078.0,"HERNANDEZ, JOSE",2340,2020-08-01,"HERNANDEZ, JOSE 2340",-34.565310,-58.452530,4326
81,144,40,267002.0,LLAVALLOL,3446,2020-08-01,LLAVALLOL 3446,-34.599719,-58.500485,4326
89,49,39,302853.0,ALLENDE,4172,2020-08-01,ALLENDE 4172,-34.604168,-58.521190,4326
15,129,13,441719.0,SANTA FE AV.,2647,2020-08-01,SANTA FE AV. 2647,-34.593697,-58.404237,4326
41,59,27,327436.0,ROOSEVELT FRANKLIN D.,3227,2020-08-01,ROOSEVELT FRANKLIN D. 3227,-34.562241,-58.468724,4326
36,37,23,153434.0,"MARMOL, JOSE",976,2020-08-01,"MARMOL, JOSE 976",-34.626070,-58.424211,4326
51,96,21,343927.0,JURAMENTO,4357,2020-08-01,JURAMENTO 4357,-34.573179,-58.475628,4326
25,62,17,335711.0,ECHEVERRIA,1559,2020-08-01,ECHEVERRIA 1559,-34.558020,-58.447606,4326
75,86,025A,363854.0,FRANCO,2437,2020-08-01,FRANCO 2437,-34.578230,-58.501358,4326
41,079B,014A,372115.0,PINTO,3229,2020-08-01,PINTO 3229,-34.556232,-58.472528,4326
23,97,19,413266.0,"CAMPOS, LUIS M. AV.",1183,2020-08-01,"CAMPOS, LUIS M. AV. 1183",-34.565505,-58.440053,4326
37,109,5,407731.0,CRAMER,960,2020-08-01,CRAMER 960,-34.572472,-58.449883,4326
36,52,17,152941.0,SAN JUAN AV.,4069,2020-08-01,SAN JUAN AV. 4069,-34.626284,-58.422479,4326
27,37,2,337392.0,QUESADA,2052,2020-08-01,QUESADA 2052,-34.552568,-58.459788,4326
48,94,35,143376.0,PEDERNERA,529,2020-08-01,PEDERNERA 529,-34.635195,-58.461659,4326
83,238,11,268950.0,SAN MARTIN AV.,6000,2020-08-01,SAN MARTIN AV. 6000,-34.595634,-58.500656,4326
37,159,13,410814.0,LA PAMPA,2462,2020-08-01,LA PAMPA 2462,-34.565281,-58.454851,4326
23,95,6,413089.0,SOLDADO DE LA INDEPENDENCIA,936,2020-08-01,SOLDADO DE LA INDEPENDENCIA 936,-34.566425,-58.436467,4326
59,98,5,231435.0,"TRELLES, MANUEL R. AV.",2525,2020-08-01,"TRELLES, MANUEL R. AV. 2525",-34.599491,-58.466368,4326
15,91,7,445653.0,"PACHECO DE MELO, JOSE ANDRES",2674,2020-08-01,"PACHECO DE MELO, JOSE ANDRES 2674",-34.586632,-58.401723,4326
37,140,11,409953.0,AMENABAR,925,2020-08-01,AMENABAR 925,-34.571140,-58.448467,4326
27,15,11,338330.0,VUELTA DE OBLIGADO,3253,2020-08-01,VUELTA DE OBLIGADO 3253,-34.551085,-58.465029,4326
36,22,32,154054.0,"MARMOL, JOSE",937,2020-08-01,"MARMOL, JOSE 937",-34.625490,-58.424467,4326
31,19,20,422590.0,GURRUCHAGA,630,2020-08-01,GURRUCHAGA 630,-34.596131,-58.439993,4326
27,131,014A,376697.0,"BAVIO, ERNESTO A.",2551,2020-08-01,"BAVIO, ERNESTO A. 2551",-34.548718,-58.444486,4326
25,20,015E,336196.0,ARCOS,2310,2020-08-01,ARCOS 2310,-34.558395,-58.455611,4326
51,105,19,344619.0,DONADO,2317,2020-08-01,DONADO 2317,-34.570851,-58.476742,4326
36,91,8,151700.0,SAN JUAN AV.,3860,2020-08-01,SAN JUAN AV. 3860,-34.626039,-58.419672,4326
45,147,17,173908.0,"ACEVEDO, EDUARDO",521,2020-08-01,"ACEVEDO, EDUARDO 521",-34.609821,-58.432384,4326
42,64,001E,138887.0,PUAN,445,2020-08-01,PUAN 445,-34.627940,-58.446903,4326
36,108,12,151079.0,"CALVO, CARLOS",3800,2020-08-01,"CALVO, CARLOS 3800",-34.624635,-58.418938,4326
15,145,22,445195.0,"GUTIERREZ, JUAN MARIA",2549,2020-08-01,"GUTIERREZ, JUAN MARIA 2549",-34.587526,-58.398542,4326
1,29,001A,220533.0,SAN MARTIN,492,2020-08-01,SAN MARTIN 492,Sin dato,Sin dato,Sin dato
42,65,024A,148296.0,"GOYENA, PEDRO AV.",1433,2020-08-01,"GOYENA, PEDRO AV. 1433",-34.627485,-58.447475,4326
41,143,13,328041.0,AMENABAR,2719,2020-08-01,AMENABAR 2719,-34.557676,-58.463194,4326
51,3,15,366295.0,MENDOZA,5898,2020-08-01,MENDOZA 5898,-34.582178,-58.491588,4326
31,103,019B,421764.0,"SCALABRINI ORTIZ, RAUL AV.",1136,2020-08-01,"SCALABRINI ORTIZ, RAUL AV. 1136",-34.594023,-58.429804,4326
39,053A,6,325103.0,"SUCRE, ANTONIO JOSE de, Mcal.",3032,2020-08-01,"SUCRE, ANTONIO JOSE de, Mcal. 3032",-34.567523,-58.461060,4326
27,82,9,337518.0,QUESADA,1678,2020-08-01,QUESADA 1678,-34.550626,-58.456060,4326
19,170,27,427452.0,ARMENIA,2448,2020-08-01,ARMENIA 2448,-34.584120,-58.419194,4326
1,8,25,221203.0,SUIPACHA,697,2020-08-01,SUIPACHA 697,-34.600239,-58.379628,4326
27,131,016A,372758.0,"BAVIO, ERNESTO A.",2535,2020-08-01,"BAVIO, ERNESTO A. 2535",-34.548841,-58.444378,4326
9,35,025B,206367.0,"MITRE, BARTOLOME",2331,2020-08-01,"MITRE, BARTOLOME 2331",-34.608460,-58.399656,4326
83,7,002E,310141.0,SEGUROLA AV.,3845,2020-08-01,SEGUROLA AV. 3845,-34.603338,-58.515882,4326
12,76,017E,218915.0,"ALSINA, ADOLFO",971,2020-08-01,"ALSINA, ADOLFO 971",-34.610671,-58.380166,4326
23,73,29,412478.0,AREVALO,2846,2020-08-01,AREVALO 2846,-34.572446,-58.431593,4326
37,34,24,407256.0,DELGADO,729,2020-08-01,DELGADO 729,-34.579154,-58.451944,4326
7,48,13,451398.0,TALCAHUANO,1295,2020-08-01,TALCAHUANO 1295,-34.593024,-58.386204,4326
52,44,5,56080.0,"BARROS PAZOS, JOSE",3066,2020-08-02,"BARROS PAZOS, JOSE 3066",-34.658327,-58.445319,4326
11,36,24,442420.0,FRENCH,2243,2020-08-02,FRENCH 2243,-34.591784,-58.397561,4326
36,051A,010A,152968.0,SAN JUAN AV.,4078,2020-08-02,SAN JUAN AV. 4078,-34.626452,-58.422471,4326
51,63,015B,367757.0,MENDOZA,4894,2020-08-02,MENDOZA 4894,-34.575628,-58.481556,4326
23,117,17,415316.0,SAN BENITO DE PALERMO,1572,2020-08-02,SAN BENITO DE PALERMO 1572,-34.567278,-58.432005,4326
47,155,1,303501.0,CAMARGO,782,2020-08-02,CAMARGO 782,-34.598294,-58.442601,4326
37,21,9,407018.0,ALVAREZ THOMAS AV.,1276,2020-08-02,ALVAREZ THOMAS AV. 1276,-34.578423,-58.459572,4326
67,46,30,250199.0,TERRADA,1938,2020-08-02,TERRADA 1938,-34.611372,-58.479749,4326
11,33,29,440779.0,"URIBURU JOSE E., Pres.",1180,2020-08-02,"URIBURU JOSE E., Pres. 1180",-34.594633,-58.398264,4326
17,58,001A,179250.0,SARMIENTO,4206,2020-08-02,SARMIENTO 4206,Sin dato,Sin dato,Sin dato
25,55,001A,372945.0,MONTAÑESES,2074,2020-08-02,MONTAÑESES 2074,-34.557691,-58.448707,4326
65,082A,024H,148000.0,YERBAL,2307,2020-08-02,YERBAL 2307,-34.627196,-58.461885,4326
65,062B,010I,135571.0,ESTADO PLURINACIONAL DE BOLIVIA,269,2020-08-02,ESTADO PLURINACIONAL DE BOLIVIA 269,-34.627508,-58.466420,4326
51,67,34,345128.0,MONROE,4888,2020-08-02,MONROE 4888,-34.572966,-58.483879,4326
48,3,27,146541.0,PORTELA,946,2020-08-02,PORTELA 946,-34.642859,-58.467362,4326
3,42,004B,453197.0,"ALVEAR, MARCELO T. De",650,2020-08-02,"ALVEAR, MARCELO T. De 650",-34.596336,-58.376078,4326
4,38,001P,214182.0,COCHABAMBA,234,2020-08-02,COCHABAMBA 234,-34.622889,-58.368824,4326
29,47,26,340419.0,O'HIGGINS,4354,2020-08-02,O'HIGGINS 4354,-34.541345,-58.468456,4326
72,20,3,21796.0,CAAGUAZU,7524,2020-08-02,CAAGUAZU 7524,-34.653574,-58.525864,4326
36,1,10,39395.0,LA PLATA AV.,1416,2020-08-02,LA PLATA AV. 1416,-34.631832,-58.425563,4326
5,38,17,222015.0,URUGUAY,355,2020-08-02,URUGUAY 355,-34.604630,-58.386472,4326
65,27,032A,149939.0,NAZCA AV.,738,2020-08-02,NAZCA AV. 738,-34.623757,-58.472861,4326
36,59,9,160942.0,REPUBLICA BOLIVARIANA DE VENEZUELA,4166,2020-08-02,REPUBLICA BOLIVARIANA DE VENEZUELA 4166,-34.617935,-58.423824,4326
7,54,10,451758.0,POSADAS,1217,2020-08-02,POSADAS 1217,-34.589392,-58.383821,4326
37,110,1,408116.0,CRAMER,1002,2020-08-02,CRAMER 1002,-34.572236,-58.450436,4326
51,15,8,351847.0,MONROE,5694,2020-08-02,MONROE 5694,-34.578172,-58.492894,4326
67,035B,22,250748.0,"INGENIEROS, JOSE",2945,2020-08-02,"INGENIEROS, JOSE 2945",-34.611211,-58.482395,4326
57,122,33,130263.0,"GAINZA, MARTIN DE, GRAL.",944,2020-08-02,"GAINZA, MARTIN DE, GRAL. 944",-34.610448,-58.446652,4326
67,4,2,251653.0,TRES ARROYOS,3116,2020-08-02,TRES ARROYOS 3116,-34.618971,-58.479410,4326
36,64,11,152481.0,TREINTA Y TRES ORIENTALES,40,2020-08-02,TREINTA Y TRES ORIENTALES 40,-34.613678,-58.424783,4326
16,41,22,112693.0,"SAENZ PEÑA, LUIS, PRES.",1694,2020-08-02,"SAENZ PEÑA, LUIS, PRES. 1694",-34.628470,-58.386997,4326
63,134,32,349418.0,"PEDRAZA, MANUELA",5223,2020-08-02,"PEDRAZA, MANUELA 5223",-34.565215,-58.492699,4326
4,11,41,211159.0,CHACABUCO,905,2020-08-02,CHACABUCO 905,-34.618672,-58.375894,4326
37,109,19,415290.0,CONESA,933,2020-08-02,CONESA 933,-34.573524,-58.450303,4326
36,17,29,154262.0,"MARMOL, JOSE",1359,2020-08-02,"MARMOL, JOSE 1359",-34.630583,-58.423299,4326
29,47,27,340418.0,O'HIGGINS,4366,2020-08-02,O'HIGGINS 4366,-34.541279,-58.468505,4326
37,53,5,408230.0,CONDE,1156,2020-08-02,CONDE 1156,-34.575224,-58.455469,4326
23,85,3,412842.0,ARCE,770,2020-08-03,ARCE 770,-34.568462,-58.435164,4326
71,9,8,257798.0,CUENCA,3525,2020-08-03,CUENCA 3525,-34.597160,-58.498420,4326
23,46,12,416400.0,ARRIBEÑOS,1435,2020-08-03,ARRIBEÑOS 1435,-34.564387,-58.444903,4326
48,106,26,142864.0,RIVERA INDARTE AV.,387,2020-08-03,RIVERA INDARTE AV. 387,-34.633221,-58.460953,4326
21,31,11,429322.0,"SALGUERO, JERONIMO",2336,2020-08-03,"SALGUERO, JERONIMO 2336",-34.584674,-58.410898,4326
67,048A,8,250280.0,CALFUCURA,2860,2020-08-03,CALFUCURA 2860,-34.609691,-58.482064,4326
23,98,31,413371.0,"LACROZE, FEDERICO",1835,2020-08-03,"LACROZE, FEDERICO 1835",-34.564781,-58.439870,4326
67,33,014B,250641.0,ARGERICH,1837,2020-08-03,ARGERICH 1837,-34.613674,-58.481401,4326
36,85,009A,151867.0,"BOCAYUVA, QUINTINO",12,2020-08-03,"BOCAYUVA, QUINTINO 12",-34.612731,-58.423506,4326
40,143,13,154852.0,SENILLOSA,484,2020-08-03,SENILLOSA 484,-34.621981,-58.429195,4326
21,37,008B,431651.0,FRENCH,3685,2020-08-03,FRENCH 3685,-34.582826,-58.411846,4326
36,042B,28,160405.0,"DEVOTO, FORTUNATO",421,2020-08-03,"DEVOTO, FORTUNATO 421",-34.618321,-58.425051,4326
37,108,002C,407433.0,CRAMER,820,2020-08-03,CRAMER 820,-34.573023,-58.448582,4326
79,37,22,261762.0,GAONA AV.,4431,2020-08-03,GAONA AV. 4431,-34.625830,-58.485900,4326
27,66,19,370429.0,3 DE FEBRERO,3483,2020-08-03,3 DE FEBRERO 3483,-34.547046,-58.461582,4326
69,19,27,254435.0,ARGERICH,2787,2020-08-03,ARGERICH 2787,-34.604361,-58.488958,4326
42,83,8,138219.0,HORTIGUERA,436,2020-08-03,HORTIGUERA 436,-34.627718,-58.445206,4326
12,9,034A,219173.0,"CEVALLOS, Virrey",765,2020-08-03,"CEVALLOS, Virrey 765",-34.617592,-58.389048,4326
11,82,012K,447190.0,"LOPEZ, VICENTE",1891,2020-08-03,"LOPEZ, VICENTE 1891",Sin dato,Sin dato,Sin dato
25,26,22,335990.0,O'HIGGINS,2244,2020-08-03,O'HIGGINS 2244,-34.558475,-58.454199,4326
17,16,16,173342.0,LAMBARE,1081,2020-08-03,LAMBARE 1081,-34.601409,-58.429978,4326
21,15,001B,429580.0,ARENALES,3885,2020-08-03,ARENALES 3885,-34.583963,-58.415805,4326
43,176,6,332590.0,AMENABAR,3953,2020-08-03,AMENABAR 3953,-34.547083,-58.471840,4326
45,72,14,178341.0,HIDALGO,487,2020-08-03,HIDALGO 487,-34.613804,-58.439903,4326
60,30,15,11178.0,POLA,1164,2020-08-03,POLA 1164,-34.649410,-58.500985,4326
2,20,25,215821.0,CHILE,673,2020-08-03,CHILE 673,-34.616141,-58.375568,4326
21,41,38,429849.0,"RUGGIERI, SILVIO L.",2776,2020-08-03,"RUGGIERI, SILVIO L. 2776",-34.582009,-58.407907,4326
47,109,30,227925.0,"MARECHAL, LEOPOLDO",1226,2020-08-03,"MARECHAL, LEOPOLDO 1226",-34.604210,-58.440318,4326
25,12,011G,377596.0,CUBA,2216,2020-08-03,CUBA 2216,Sin dato,Sin dato,Sin dato
39,89,12,325490.0,AMENABAR,1981,2020-08-03,AMENABAR 1981,-34.564347,-58.457478,4326
40,117,11,155697.0,ROSARIO,274,2020-08-03,ROSARIO 274,-34.618912,-58.432842,4326
37,154,28,410258.0,ZABALA,2463,2020-08-03,ZABALA 2463,-34.568629,-58.449692,4326
37,154,13,410238.0,"LORETO, Virrey",2458,2020-08-03,"LORETO, Virrey 2458",-34.568202,-58.450503,4326
3,49,21,450202.0,SAN MARTIN,908,2020-08-03,SAN MARTIN 908,Sin dato,Sin dato,Sin dato
7,37,008K,453178.0,PARANA,1307,2020-08-03,PARANA 1307,-34.592688,-58.388680,4326
39,85,016C,326309.0,MENDOZA,2659,2020-08-03,MENDOZA 2659,Sin dato,Sin dato,Sin dato
21,075B,34,430465.0,LAFINUR,3260,2020-08-03,LAFINUR 3260,-34.578043,-58.412886,4326
25,29,10,335396.0,LA PAMPA,1993,2020-08-03,LA PAMPA 1993,-34.562525,-58.450373,4326
36,65,30,38383.0,CASTRO,1543,2020-08-03,CASTRO 1543,Sin dato,Sin dato,Sin dato
37,107,2,407220.0,CRAMER,714,2020-08-03,CRAMER 714,-34.573509,-58.447412,4326
25,24,025A,335619.0,O'HIGGINS,2066,2020-08-03,O'HIGGINS 2066,-34.560141,-58.452761,4326
42,42,12,139527.0,RIVADAVIA AV.,6166,2020-08-03,RIVADAVIA AV. 6166,-34.625474,-58.453402,4326
49,180,18,304692.0,CORRIENTES AV.,6863,2020-08-03,CORRIENTES AV. 6863,-34.587119,-58.454570,4326
25,56,11,335867.0,ARRIBEÑOS,2175,2020-08-03,ARRIBEÑOS 2175,-34.557373,-58.450612,4326
63,111A,001A,355562.0,TRIUNVIRATO AV.,5848,2020-08-03,TRIUNVIRATO AV. 5848,-34.564315,-58.496107,4326
39,59,001B,326806.0,BLANCO ENCALADA,3085,2020-08-03,BLANCO ENCALADA 3085,-34.563010,-58.465567,4326
2,034B,003D,215517.0,"ALSINA, ADOLFO",545,2020-08-03,"ALSINA, ADOLFO 545",-34.610268,-58.374198,4326
37,53,7,408228.0,CONDE,1186,2020-08-03,CONDE 1186,-34.575139,-58.455648,4326
63,100F,17,351946.0,MONROE,5165,2020-08-03,MONROE 5165,-34.574617,-58.487044,4326
51,76,4,344003.0,MENDOZA,4632,2020-08-03,MENDOZA 4632,-34.573967,-58.479154,4326
45,96,036A,175084.0,"LOBOS, ELEODORO, Dr.",446,2020-08-03,"LOBOS, ELEODORO, Dr. 446",-34.612744,-58.436485,4326
27,24,3,336860.0,"UGARTE, MANUEL",2162,2020-08-03,"UGARTE, MANUEL 2162",-34.555155,-58.459204,4326
31,88,001C,433433.0,ARAOZ,1083,2020-08-03,ARAOZ 1083,Sin dato,Sin dato,Sin dato
73,77,21,360845.0,VALLEJOS,2283,2020-08-03,VALLEJOS 2283,-34.583422,-58.493755,4326
15,49,1,444211.0,SANCHEZ DE BUSTAMANTE,1986,2020-08-03,SANCHEZ DE BUSTAMANTE 1986,-34.588891,-58.407601,4326
5,7,2,223199.0,VIAMONTE,1718,2020-08-03,VIAMONTE 1718,-34.600801,-58.391727,4326
67,035B,26,250744.0,NAZCA AV.,2060,2020-08-03,NAZCA AV. 2060,-34.610880,-58.481970,4326
23,28,009D,415697.0,AGUILAR,2328,2020-08-04,AGUILAR 2328,-34.568481,-58.446616,4326
9,16,010A,207753.0,PASO,95,2020-08-04,PASO 95,-34.608918,-58.403343,4326
17,76,024A,170897.0,"MITRE, BARTOLOME",3909,2020-08-04,"MITRE, BARTOLOME 3909",-34.609776,-58.421623,4326
5,24,42,222580.0,PARANA,568,2020-08-04,PARANA 568,-34.602120,-58.388056,4326
19,69,019C,433610.0,THAMES,1702,2020-08-04,THAMES 1702,-34.587304,-58.430086,4326
21,70,017A,432157.0,"RUGGIERI, SILVIO L.",3040,2020-08-04,"RUGGIERI, SILVIO L. 3040",-34.579861,-58.406898,4326
14,57,14,212045.0,SALTA,914,2020-08-04,SALTA 914,-34.618769,-58.382932,4326
21,22,023A,433352.0,"SALGUERO, JERONIMO",2244,2020-08-04,"SALGUERO, JERONIMO 2244",-34.585517,-58.411436,4326
21,25,026A,429625.0,"SCALABRINI ORTIZ, RAUL",2748,2020-08-04,"SCALABRINI ORTIZ, RAUL 2748",-34.583789,-58.413955,4326
13,79,29,190511.0,SARMIENTO,3057,2020-08-04,SARMIENTO 3057,Sin dato,Sin dato,Sin dato
35,93,22,405321.0,CIUDAD DE LA PAZ,267,2020-08-04,CIUDAD DE LA PAZ 267,-34.574674,-58.440975,4326
28,17,26,194708.0,DON BOSCO,3559,2020-08-04,DON BOSCO 3559,-34.612053,-58.416225,4326
21,14,015A,433121.0,ARAOZ,2612,2020-08-04,ARAOZ 2612,-34.584992,-58.413967,4326
45,87,33,175378.0,"AMBROSETTI, JUAN B.",852,2020-08-04,"AMBROSETTI, JUAN B. 852",-34.608165,-58.438769,4326
19,116,33,426532.0,"SCALABRINI ORTIZ, RAUL AV.",2082,2020-08-04,"SCALABRINI ORTIZ, RAUL AV. 2082",-34.587943,-58.420602,4326
89,49,40,302852.0,ALLENDE,4190,2020-08-04,ALLENDE 4190,-34.604098,-58.521252,4326
48,3,13,146526.0,"LAFERRERE, GREGORIO de",3406,2020-08-05,"LAFERRERE, GREGORIO de 3406",-34.641925,-58.467138,4326
20,57,010a,202817.0,"YRIGOYEN, HIPOLITO",2074,2020-08-05,"YRIGOYEN, HIPOLITO 2074",-34.610612,-58.395826,4326
19,147,5,424337.0,GUEMES,3642,2020-08-05,GUEMES 3642,-34.588527,-58.414083,4326
35,95,030A,416695.0,"NEWBERY, JORGE",2523,2020-08-05,"NEWBERY, JORGE 2523",-34.573329,-58.442041,4326
25,31,12,335630.0,O'HIGGINS,2009,2020-08-05,O'HIGGINS 2009,-34.560644,-58.452215,4326
62,156,11,27340.0,"ALBERDI, JUAN BAUTISTA AV.",4886,2020-08-05,"ALBERDI, JUAN BAUTISTA AV. 4886",-34.644632,-58.494639,4326
67,048B,23,250292.0,CALFUCURA,2815,2020-08-05,CALFUCURA 2815,-34.609389,-58.481634,4326
32,26,41,104572.0,CASEROS AV.,3599,2020-08-05,CASEROS AV. 3599,-34.638791,-58.415639,4326
45,073A,36,178293.0,ACOYTE AV.,554,2020-08-05,ACOYTE AV. 554,-34.612310,-58.438704,4326
39,76,1,325725.0,JURAMENTO AV.,2740,2020-08-05,JURAMENTO AV. 2740,-34.563872,-58.459720,4326
43,180,29,332352.0,CABILDO AV.,3870,2020-08-05,CABILDO AV. 3870,-34.547687,-58.469367,4326
51,74,10,343279.0,ALVAREZ THOMAS AV.,2561,2020-08-05,ALVAREZ THOMAS AV. 2561,-34.576099,-58.476992,4326
7,6,36,452631.0,RODRIGUEZ PEÑA,1416,2020-08-05,RODRIGUEZ PEÑA 1416,-34.593172,-58.391600,4326
1,010A,022C,220838.0,"SAENZ PEÑA, ROQUE, PRES. AV.",720,2020-08-05,"SAENZ PEÑA, ROQUE, PRES. AV. 720",-34.606384,-58.376778,4326
39,99,012A,376616.0,CABILDO AV.,2228,2020-08-05,CABILDO AV. 2228,-34.560786,-58.457925,4326
21,40,22,429769.0,BULNES,2526,2020-08-05,BULNES 2526,-34.582817,-58.407096,4326
77,72,015C,88433.0,SEGUROLA AV.,636,2020-08-05,SEGUROLA AV. 636,-34.629014,-58.488654,4326
51,126,2,344533.0,BLANCO ENCALADA,3808,2020-08-05,BLANCO ENCALADA 3808,-34.568072,-58.473896,4326
36,104,12,151211.0,PAVON AV.,3753,2020-08-05,PAVON AV. 3753,-34.630260,-58.417443,4326
17,79,10,171021.0,"ACUÑA DE FIGUEROA, FRANCISCO",483,2020-08-06,"ACUÑA DE FIGUEROA, FRANCISCO 483",-34.605031,-58.422764,4326
21,90,31,430961.0,"SEGUI, JUAN FRANCISCO",4676,2020-08-06,"SEGUI, JUAN FRANCISCO 4676",-34.573288,-58.422157,4326
36,9,30,154398.0,ESTADOS UNIDOS,4307,2020-08-06,ESTADOS UNIDOS 4307,-34.623455,-58.426505,4326
8,33,017A,119238.0,BRASIL,811,2020-08-06,BRASIL 811,-34.626285,-58.376371,4326
45,79,9,175193.0,ACOYTE AV.,79,2020-08-06,ACOYTE AV. 79,-34.617381,-58.436828,4326
63,89,015B,352161.0,ROOSEVELT FRANKLIN D. AV.,5301,2020-08-06,ROOSEVELT FRANKLIN D. AV. 5301,-34.574914,-58.489779,4326
27,23,26,336607.0,ARCOS,2534,2020-08-06,ARCOS 2534,-34.556288,-58.457443,4326
48,110F,8,142701.0,RIVERA INDARTE AV.,930,2020-08-06,RIVERA INDARTE AV. 930,-34.639217,-58.455696,4326
51,79,6,345095.0,MONROE,4660,2020-08-06,MONROE 4660,-34.571511,-58.481397,4326
31,35,22,420023.0,ESTADO DE ISRAEL AV.,4735,2020-08-06,ESTADO DE ISRAEL AV. 4735,-34.601011,-58.431405,4326
25,40,009A,335821.0,3 DE FEBRERO,2147,2020-08-06,3 DE FEBRERO 2147,-34.558866,-58.452413,4326
41,120,28,327568.0,MOLDES,2678,2020-08-06,MOLDES 2678,-34.558726,-58.463760,4326
37,114,16,409050.0,CRAMER,1536,2020-08-06,CRAMER 1536,-34.570511,-58.455480,4326
39,67,12,325143.0,VIDAL,1816,2020-08-06,VIDAL 1816,-34.566830,-58.458136,4326
39,67,008A,325148.0,LA PAMPA,2863,2020-08-06,LA PAMPA 2863,-34.567235,-58.458473,4326
71,51,12,255819.0,NAZCA AV.,3177,2020-08-06,NAZCA AV. 3177,-34.599391,-58.491103,4326
9,52,001A,207575.0,SARMIENTO,2108,2020-08-06,SARMIENTO 2108,Sin dato,Sin dato,Sin dato
36,24,49,153968.0,"MARMOL, JOSE",745,2020-08-06,"MARMOL, JOSE 745",-34.622281,-58.425114,4326
