Código,Calidad 1,Calidad 2,Calidad 3,Calidad 4
20012306,191,16,1,0
20012307,204,42,2,1
20012308,270,16,0,0
20012309,362,38,0,0
20012310,134,9,2,0
20012401,100,13,0,0
20012402,116,25,0,0
20012403,108,47,4,0
20012404,146,18,1,1
20012405,144,17,0,0
20012406,289,51,6,0
20012407,207,41,8,0
20012408,158,18,3,0
20012501,147,23,0,1
20012502,147,23,4,0
20012503,210,9,2,0
20012504,386,20,1,2
20012505,199,20,1,0
20012506,266,66,4,0
20012507,178,7,5,1
20012508,258,56,2,0
20012509,113,37,0,0
20012510,183,27,1,0
20012511,222,27,0,0
20012601,156,73,9,3
20012602,256,17,21,4
20012603,173,33,6,1
20012604,214,20,5,0
20012605,286,13,0,0
20012606,192,20,0,2
20012607,138,2,0,1
20012608,205,6,1,0
20012609,304,7,0,0
20012701,201,29,0,0
20012702,104,33,1,0
20012703,191,78,2,0
20012704,220,82,10,4
20012705,259,13,10,0
20012706,244,105,3,2
20012707,154,71,2,1
20012708,231,12,1,0
20012709,257,43,0,0
20012710,235,6,0,0
20012801,202,12,0,0
20012802,291,31,18,0
20012803,171,59,2,0
20012804,228,41,1,1
20012805,317,28,3,0
20012806,211,60,2,0
20012807,241,40,9,3
20012808,93,0,0,0
20012809,222,31,2,0
20012810,317,20,0,0
20012811,199,31,6,0
20012812,169,40,19,1
20012813,202,36,3,0
20012901,349,38,7,1
20012902,198,18,10,0
20012903,255,14,4,0
20012904,212,28,2,0
20012905,243,13,1,1
20012906,301,17,1,0
20012907,292,31,1,0
20012908,195,24,3,2
20012909,238,61,41,2
20020101,3,2,4,0
20020102,35,32,49,3
20020201,211,10,8,0
20020202,355,6,0,0
20020203,215,9,0,0
20020204,180,5,0,0
20020205,239,20,0,0
20020206,183,7,0,0
20020207,127,2,0,0
20020208,253,21,4,0
20020301,384,12,1,0
20020302,328,66,3,1
20020303,85,2,0,0
20020304,175,11,1,0
20020305,263,23,2,0
20020306,239,33,0,0
20020307,320,11,0,0
20020308,215,13,1,0
20020401,282,24,1,0
20020402,100,9,0,0
20020403,142,4,0,0
20020404,182,10,1,0
20020405,269,12,0,0
20020406,173,11,2,0
20020407,217,9,0,0
20020408,401,18,4,1
20020409,279,34,1,0
20020410,396,18,0,0
20020501,247,7,1,1
20020502,267,7,2,0
20020503,204,43,1,0
20020504,223,1,0,0
20020505,298,20,0,0
20020506,306,20,0,0
20020507,298,22,0,0
20020508,311,11,0,0
20020509,240,9,0,0
20020601,149,18,0,0
20020602,530,30,0,0
20020603,203,17,0,0
20020604,293,22,0,0
20020605,172,6,0,0
20020606,265,46,2,0
20020607,169,5,0,0
20020608,188,24,7,0
20020609,258,10,1,0
20020610,203,19,4,0
20020701,523,35,2,0
20020702,434,35,3,1
20020703,316,39,0,0
20020704,251,13,0,0
20020705,224,16,1,0
20020706,262,9,0,0
20020707,354,40,5,1
20020708,133,20,1,0
20020709,264,12,0,0
20020801,292,38,5,0
20020802,284,17,1,0
20020803,407,43,1,0
20020804,445,28,1,0
20020805,367,30,0,0
20020806,538,76,4,0
20020807,613,66,2,0
20020808,330,20,0,0
20020901,345,27,0,0
20020902,213,2,0,0
20020903,422,22,2,0
20020904,415,40,0,0
20020905,434,27,0,0
20020906,407,30,0,0
20020907,447,11,0,0
20020908,605,31,0,0
20020909,490,27,1,1
20021001,459,52,4,0
20021002,333,20,0,0
20021003,203,3,0,0
20021004,331,10,0,0
20021005,406,15,0,0
20021006,308,7,0,0
20021007,447,27,0,0
20021008,416,13,0,0
20021009,258,18,1,0
20021101,521,79,0,0
20021102,220,8,0,0
20021103,620,16,8,0
20021104,596,58,3,0
20021105,141,10,1,0
20021106,289,12,1,0
20021201,394,37,0,0
20021202,372,13,2,0
20021203,392,22,0,0
20021204,648,35,1,0
20021205,536,30,1,0
20021206,458,12,1,0
20021301,496,62,0,0
20021302,380,28,1,0
20021303,476,17,0,1
20021304,481,47,1,0
20021305,580,24,1,0
20021306,364,14,0,0
20021307,492,97,3,0
20021401,220,25,1,0
20021402,285,8,1,0
20021403,170,4,0,0
20021404,332,24,0,0
20021405,381,73,1,0
20021406,440,70,12,0
20021407,325,12,0,0
20021408,356,17,0,0
20021409,537,31,3,0
20021410,498,23,1,1
20021501,238,26,0,0
20021502,349,30,4,0
20021503,577,48,0,0
20021504,299,10,0,0
20021505,257,6,1,0
20021506,259,25,0,0
20021507,346,16,0,0
20021508,302,25,2,0
20021601,295,21,0,1
20021602,271,16,1,0
20021603,281,20,0,0
20021604,265,13,0,0
20021605,327,30,0,1
20021606,311,6,0,0
20021607,318,18,1,0
20021608,191,3,2,0
20021701,517,46,1,0
20021702,356,10,0,0
20021703,425,20,0,0
20021704,151,8,3,0
20021705,244,31,0,0
20021706,392,44,4,1
20021707,479,40,0,1
20021708,441,22,7,0
20021709,346,10,0,0
20021801,391,50,0,0
20021802,460,57,1,0
20021803,381,9,1,0
20021804,241,19,1,1
20021805,227,16,0,0
20021806,313,42,3,0
20021807,246,16,1,0
20021808,316,12,0,0
20021901,327,40,24,0
20021902,292,5,0,0
20021903,296,7,0,0
20021904,449,38,0,0
20021905,332,20,0,0
20021906,388,29,1,0
20021907,295,17,1,0
20021908,354,12,0,0
20022001,412,27,2,0
20022002,414,26,4,1
20022003,329,41,0,0
20022004,287,79,3,0
20022005,232,10,1,0
20022006,313,10,0,0
20022007,219,21,3,0
20022008,269,15,0,0
20022101,433,12,0,0
20022102,391,39,1,0
20022103,344,14,0,0
20022104,488,20,0,0
20022105,414,48,3,0
20022106,429,26,0,0
